path,extension,size_bytes,category,eligible_historical_bank,exam_id,classification_evidence
Talleres temas variados/17-Probabilidades.pdf,.pdf,82208,WORKSHOP,False,,Taller temático
Talleres temas variados/18-Fracciones.pdf,.pdf,89347,WORKSHOP,False,,Taller temático
Talleres temas variados/5-Planteo de Ecuaciones.pdf,.pdf,81236,WORKSHOP,False,,Taller temático
Seminario rl udea/A8TantoPorciento.pdf,.pdf,68306,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/20-Áreas de Regiones Sombreadas.pdf,.pdf,156095,WORKSHOP,False,,Taller temático
Talleres temas variados/14-Operadores Matemáticos.pdf,.pdf,118206,WORKSHOP,False,,Taller temático
Seminario rl udea/A13Sucesiones.pdf,.pdf,210101,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/1- Orden de Información.pdf,.pdf,157005,WORKSHOP,False,,Taller temático
Seminario rl udea/A2Logica.pdf,.pdf,119159,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/11-Conteo de Figuras.pdf,.pdf,147436,WORKSHOP,False,,Taller temático
Talleres temas variados/21-Comparación Cuantitativa.pdf,.pdf,95364,WORKSHOP,False,,Taller temático
Talleres temas variados/19-Porcentajes.pdf,.pdf,84565,WORKSHOP,False,,Taller temático
Talleres temas variados/9-Sucesiones.pdf,.pdf,115094,WORKSHOP,False,,Taller temático
Talleres temas variados/16-Análisis Combinatorio.pdf,.pdf,124246,WORKSHOP,False,,Taller temático
Talleres temas variados/4-Método Inductivo.pdf,.pdf,163870,WORKSHOP,False,,Taller temático
Seminario rl udea/A12Combinaciones.pdf,.pdf,123400,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/6-Edades.pdf,.pdf,74291,WORKSHOP,False,,Taller temático
Talleres temas variados/13-Criptoaritmética.pdf,.pdf,102315,WORKSHOP,False,,Taller temático
Talleres temas variados/10-Series y Sumatorias.pdf,.pdf,196141,WORKSHOP,False,,Taller temático
Talleres temas variados/12-Operaciones Combinadas.pdf,.pdf,102547,WORKSHOP,False,,Taller temático
Seminario rl udea/A1Acertijos.pdf,.pdf,118723,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A10Series.pdf,.pdf,111526,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A6Fracciones.pdf,.pdf,97943,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/2-Juegos de Ingenio.pdf,.pdf,238433,WORKSHOP,False,,Taller temático
Seminario rl udea/B11(4)Series.pdf,.pdf,150634,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A9TablasyGraficas.pdf,.pdf,144564,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/B12(5)Permutaciones.pdf,.pdf,162242,WORKSHOP,False,,Material de seminario de razonamiento lógico
"Talleres temas variados/15-Certezas, Máximos y Mínimos.pdf",.pdf,80968,WORKSHOP,False,,Taller temático
Talleres temas variados/7-Móviles.pdf,.pdf,189761,WORKSHOP,False,,Taller temático
Seminario rl udea/B2Logica.pdf,.pdf,205255,WORKSHOP,False,,Material de seminario de razonamiento lógico
Talleres temas variados/3-Habilidad Operativa.pdf,.pdf,157760,WORKSHOP,False,,Taller temático
Ejercicios-UdeA-Resueltos-y-Propuestos-por-Escolaria-Preuniversitario.pdf,.pdf,339199,PREPARATION_MATERIAL,False,,Solucionario o material preuniversitario
Banco de lecturas/La soledad de América Latina_GGM.pdf,.pdf,114681,READING_BANK,False,,Texto de lectura; no es examen
Banco de lecturas/construccionymedioambiente.pdf,.pdf,20655,READING_BANK,False,,Texto de lectura; no es examen
Seminario rl udea/B9Graficas.pdf,.pdf,210117,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/B13(6)Probabilidad.pdf,.pdf,162174,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/B3Conjuntos.pdf,.pdf,191129,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A4Areas.pdf,.pdf,160374,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A3Conjuntos.pdf,.pdf,118229,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A15Trigonometria.pdf,.pdf,106987,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/A7Regla de Tres.pdf,.pdf,109913,WORKSHOP,False,,Material de seminario de razonamiento lógico
